Price,Details,Address,features,Area,Bedrooms,House_type
13000,1 BHK Independent Floor,"Sathavahana Nagar, Kukatpally, Hyderabad",Semi Furnished,800.0,1,Independent
15000,2 BHK Apartment,"Sathavahana Nagar, Kukatpally, Hyderabad",Unfurnished,1125.0,2,Apartment
8000,1 BHK Apartment,"Sathavahana Nagar, Kukatpally, Hyderabad",Unfurnished,1400.0,1,Apartment
14500,2 BHK Independent House,"Sathavahana Nagar, Kukatpally, Hyderabad",Semi Furnished,1000.0,2,Independent
7000,1 BHK Independent House,"alwin colony, Sathavahana Nagar, Kukatpally, Hyderabad",Unfurnished,330.0,1,Independent
11000,2 BHK Independent House,"Sathavahana Nagar, Kukatpally, Hyderabad",Unfurnished,1100.0,2,Independent
18000,2 BHK Apartment,"asha enclave, Sathavahana Nagar, Kukatpally, Hyderabad",Unfurnished,1400.0,2,Apartment
40000,3 BHK Apartment,"Incor OneCity by Incor Infrastructure Pvt. Ltd., Sathavahana Nagar, Kukatpally, Hyderabad",Semi Furnished,1735.0,3,Apartment
16000,2 BHK Independent House,"Navodaya Colony, Sathavahana Nagar, Kukatpally, Hyderabad",Semi Furnished,1340.0,2,Independent
25000,3 BHK Independent House,"Sathavahana Nagar, Kukatpally, Hyderabad",Semi Furnished,1500.0,3,Independent
12000,2 BHK Independent House,"Sathavahana Nagar, Kukatpally, Hyderabad",Unfurnished,1000.0,2,Independent
12500,2 BHK Apartment,"Sathavahana Nagar, Kukatpally, Hyderabad",Unfurnished,600.0,2,Apartment
11300,1 RK Apartment,"Sathavahana Nagar, Kukatpally, Hyderabad",Fully Furnished,1000.0,1,Apartment
13000,2 BHK Independent House,"Sathavahana Nagar, Kukatpally, Hyderabad",Semi Furnished,1200.0,2,Independent
12200,1 RK Apartment,"sharing room venataraman colony, Sathavahana Nagar, Kukatpally, Hyderabad",Fully Furnished,1400.0,1,Apartment
6900,1 RK Apartment,"Sathavahana Nagar, Kukatpally, Hyderabad",Fully Furnished,1400.0,1,Apartment
